duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,num_failed_logins,logged_in,label,is_attack
1.66,tcp,pop3,S0,13,8,142,470,0.874,0.928,0,0,dos,1
59.78,tcp,smtp,SF,653,510,9,4,0.01,0.888,0,1,normal,0
0.0,udp,telnet,REJ,91,2,112,213,0.805,1.0,0,0,dos,1
0.0,tcp,ssh,S0,598,1723,8,5,0.0,0.808,0,1,normal,0
0.0,udp,ftp,SF,615,1084,1,8,0.0,1.0,0,1,normal,0
27.18,tcp,telnet,SF,236,365,4,6,0.216,0.883,1,0,r2l,1
4.76,tcp,pop3,REJ,103,0,508,461,1.0,0.989,0,0,dos,1
3.01,icmp,ssh,REJ,49,0,323,446,0.921,0.904,0,0,dos,1
56.18,tcp,pop3,SF,332,1001,7,7,0.021,0.79,0,1,normal,0
72.32,tcp,dns,SF,563,1518,5,8,0.007,0.858,0,1,normal,0
105.88,tcp,ftp,SF,469,1885,6,6,0.14,1.0,0,1,normal,0
8.58,tcp,ssh,REJ,18,0,86,10,0.283,0.261,0,0,probe,1
121.91,tcp,http,SF,665,2367,8,4,0.0,0.921,0,1,normal,0
0.0,tcp,pop3,S0,22,0,317,232,1.0,0.965,0,0,dos,1
0.0,udp,smtp,SF,370,1426,8,2,0.067,0.847,0,1,normal,0
50.25,tcp,telnet,SF,343,665,8,7,0.023,0.86,0,1,normal,0
59.78,tcp,ftp,SF,787,1309,2,1,0.0,0.833,0,1,normal,0
88.82,tcp,telnet,SF,1163,541,9,6,0.008,0.947,0,1,normal,0
0.88,tcp,dns,S0,45,0,244,308,0.829,0.896,0,0,dos,1
82.24,tcp,telnet,SF,645,759,1,5,0.058,0.919,0,1,normal,0
2.0,tcp,pop3,S0,30,0,162,429,0.846,0.97,0,0,dos,1
27.42,icmp,dns,SF,53,209,5,3,0.0,0.84,0,1,normal,0
12.02,tcp,http,SF,198,43,7,2,0.348,0.365,4,1,r2l,1
6.17,udp,smtp,SF,13,0,60,6,0.5,0.203,0,0,probe,1
0.48,tcp,pop3,S0,51,0,355,221,0.9,0.949,0,0,dos,1
59.09,tcp,pop3,SF,711,994,3,3,0.07,0.932,0,1,normal,0
45.63,udp,telnet,SF,509,966,6,3,0.061,1.0,0,1,normal,0
76.66,tcp,other,SF,0,1497,4,9,0.037,0.838,0,1,normal,0
79.19,udp,other,SF,220,967,3,9,0.126,0.982,0,1,normal,0
0.0,tcp,pop3,SF,813,633,3,3,0.039,1.0,0,1,normal,0
0.54,tcp,telnet,S0,5,7,170,160,0.798,0.951,0,0,dos,1
2.74,tcp,http,SF,367,281,3,8,0.275,0.322,4,0,r2l,1
18.35,udp,pop3,REJ,789,1607,2,2,0.0,0.928,0,1,normal,0
118.01,tcp,other,SF,429,1213,1,5,0.098,0.726,0,1,normal,0
70.03,icmp,http,SF,351,2069,6,7,0.012,0.825,0,1,normal,0
88.17,tcp,http,SF,233,0,3,3,0.0,0.919,0,1,normal,0
1.56,tcp,telnet,SF,221,330,3,1,0.054,0.801,0,1,normal,0
82.36,tcp,pop3,SF,453,1630,1,4,0.0,0.777,0,1,normal,0
119.32,tcp,http,SF,244,923,1,2,0.0,0.855,0,1,normal,0
0.0,tcp,other,SF,312,1301,5,7,0.035,0.822,0,1,normal,0
0.0,udp,smtp,SF,766,1219,5,3,0.004,0.838,0,1,normal,0
0.0,udp,pop3,RSTR,46,5,296,399,0.978,0.922,0,0,dos,1
0.99,tcp,pop3,S0,13,0,453,403,0.996,0.987,0,0,dos,1
124.1,tcp,ftp,S0,623,1166,4,1,0.0,0.821,0,1,normal,0
3.21,tcp,pop3,S0,99,0,208,205,1.0,0.975,0,0,dos,1
0.0,tcp,smtp,S0,46,2,480,342,0.893,0.92,0,0,dos,1
34.33,tcp,smtp,SF,561,0,2,4,0.0,1.0,0,1,normal,0
163.95,tcp,http,SF,936,1080,8,8,0.0,0.903,0,1,normal,0
93.78,tcp,pop3,SF,329,1116,8,4,0.016,0.815,0,1,normal,0
32.4,tcp,http,SF,699,1616,8,6,0.025,0.809,0,1,normal,0
13.7,tcp,ftp,RSTR,883,1469,2,7,0.006,0.857,0,1,normal,0
0.0,tcp,telnet,SF,802,1086,5,5,0.019,1.0,0,1,normal,0
0.0,udp,ssh,S0,23,0,305,376,0.991,0.969,0,0,dos,1
19.43,tcp,ftp,SF,526,1551,8,2,0.0,0.92,0,1,normal,0
0.86,tcp,ftp,S0,42,0,486,429,1.0,0.988,0,0,dos,1
0.0,tcp,smtp,REJ,49,4,188,227,0.646,1.0,0,0,dos,1
0.0,udp,http,SF,717,1101,2,3,0.042,0.753,0,1,normal,0
75.96,tcp,telnet,SF,919,255,4,1,0.0,0.941,0,1,normal,0
76.1,udp,other,SF,819,1661,7,6,0.093,1.0,0,1,normal,0
10.63,tcp,smtp,SF,169,1007,6,6,0.0,0.896,0,1,normal,0
24.59,tcp,dns,SF,720,1217,5,3,0.051,0.961,0,1,normal,0
60.21,tcp,other,SF,369,1140,9,1,0.0,1.0,0,1,normal,0
29.75,tcp,dns,SF,338,399,4,5,0.119,0.738,0,1,normal,0
0.91,tcp,pop3,REJ,75,0,387,267,0.662,0.893,0,0,dos,1
97.68,tcp,dns,SF,921,1264,4,9,0.086,1.0,0,1,normal,0
0.0,tcp,pop3,RSTR,487,1008,5,8,0.021,0.907,0,1,normal,0
75.06,tcp,smtp,SF,282,365,9,1,0.102,0.709,0,1,normal,0
50.01,tcp,http,SF,105,1255,8,7,0.0,0.897,0,1,normal,0
147.38,tcp,pop3,SF,427,775,6,4,0.0,0.936,0,1,normal,0
17.24,tcp,dns,SF,595,481,2,9,0.029,0.755,0,1,normal,0
38.58,tcp,ftp,SF,394,1091,9,6,0.02,0.785,0,1,normal,0
59.3,tcp,ftp,SF,426,1373,2,6,0.048,0.989,0,1,normal,0
0.0,tcp,ssh,S0,56,1,275,462,0.904,0.961,0,0,dos,1
19.75,tcp,http,SF,448,746,3,4,0.021,0.948,0,1,normal,0
49.64,tcp,smtp,SF,625,1846,7,6,0.015,1.0,0,1,normal,0
96.32,tcp,other,SF,0,1246,1,5,0.0,0.841,0,1,normal,0
37.92,udp,pop3,SF,352,793,6,9,0.0,1.0,0,1,normal,0
45.55,udp,pop3,SF,562,685,1,6,0.005,0.679,0,1,normal,0
42.96,tcp,pop3,SF,701,1285,2,2,0.039,0.804,0,1,normal,0
0.0,tcp,other,S0,92,1,204,107,0.913,0.947,0,0,dos,1
52.75,icmp,pop3,REJ,82,0,3,9,0.002,1.0,0,1,normal,0
96.08,tcp,other,SF,815,277,1,6,0.034,0.955,0,1,normal,0
4.84,tcp,other,REJ,26,0,116,298,0.791,1.0,0,0,dos,1
51.01,tcp,ftp,SF,230,1518,8,5,0.0,1.0,0,1,normal,0
44.18,tcp,ssh,SF,412,667,9,8,0.104,0.845,0,1,normal,0
87.11,tcp,http,SF,424,919,5,6,0.052,0.833,0,1,normal,0
0.22,tcp,http,S0,42,4,157,321,0.975,0.942,0,0,dos,1
73.57,tcp,dns,RSTO,382,608,1,6,0.012,0.911,0,1,normal,0
47.73,tcp,telnet,SF,861,1755,6,9,0.02,0.969,0,1,normal,0
86.64,tcp,telnet,SF,689,2174,5,2,0.009,0.863,0,1,normal,0
104.99,tcp,telnet,RSTO,192,1101,4,3,0.051,0.821,0,1,normal,0
21.97,tcp,telnet,SF,327,1103,8,5,0.0,0.902,0,1,normal,0
108.51,udp,http,RSTO,178,809,9,7,0.0,0.826,0,1,normal,0
19.63,tcp,telnet,SF,573,1929,1,8,0.0,0.935,0,1,normal,0
63.01,tcp,other,SF,410,1430,5,3,0.01,0.986,0,1,normal,0
0.0,tcp,telnet,SF,483,82,6,6,0.094,0.801,0,1,normal,0
59.93,tcp,pop3,S0,1006,930,7,9,0.064,0.943,0,1,normal,0
0.0,tcp,http,SF,312,1858,4,2,0.0,0.779,0,1,normal,0
43.13,tcp,ftp,RSTR,124,852,3,9,0.031,0.798,0,1,normal,0
0.0,tcp,telnet,S0,211,376,14,9,0.247,0.992,3,0,r2l,1
6.06,tcp,http,REJ,0,4,93,17,0.429,0.248,0,0,probe,1
38.61,icmp,other,SF,657,1131,8,3,0.055,1.0,0,1,normal,0
87.56,tcp,telnet,SF,761,2605,9,8,0.0,0.874,0,1,normal,0
27.67,udp,ssh,SF,94,538,5,5,0.086,0.431,4,1,r2l,1
1.02,udp,pop3,S0,31,0,281,275,1.0,0.957,0,0,dos,1
1.96,tcp,dns,S0,61,6,364,458,0.934,0.949,0,0,dos,1
0.0,tcp,ftp,S0,741,545,1,8,0.043,0.888,0,1,normal,0
98.62,tcp,ftp,SF,15,61,6,6,0.0,0.964,0,1,normal,0
61.15,tcp,http,SF,668,1163,7,7,0.0,0.765,0,1,normal,0
0.0,tcp,pop3,S0,21,0,42,14,0.276,0.291,0,0,probe,1
82.61,udp,dns,SF,366,756,2,7,0.114,0.738,0,1,normal,0
80.63,icmp,ssh,SF,400,1856,4,1,0.001,0.843,0,1,normal,0
94.4,tcp,dns,SF,267,982,1,8,0.0,0.782,0,1,normal,0
67.62,tcp,other,SF,652,922,2,9,0.0,0.983,0,1,normal,0
16.34,tcp,ssh,SF,291,672,6,5,0.085,0.795,0,1,normal,0
0.0,tcp,smtp,S0,36,10,407,485,1.0,0.904,0,0,dos,1
3.68,udp,http,S0,64,5,275,280,0.803,0.883,0,0,dos,1
1.11,tcp,ssh,RSTR,71,4,186,406,1.0,1.0,0,0,dos,1
0.0,tcp,ftp,RSTO,84,722,7,6,0.0,0.831,0,1,normal,0
46.32,tcp,pop3,SF,1129,1376,3,7,0.0,0.813,0,1,normal,0
86.42,tcp,dns,SF,384,1571,9,5,0.0,0.93,0,1,normal,0
21.38,udp,smtp,SF,684,1984,7,9,0.049,1.0,0,1,normal,0
78.0,udp,other,SF,489,535,5,4,0.0,0.975,0,1,normal,0
29.41,tcp,ftp,SF,262,1227,8,2,0.117,0.821,0,1,normal,0
40.31,tcp,telnet,SF,875,0,9,2,0.033,0.832,0,1,normal,0
21.68,udp,smtp,SF,409,1053,7,1,0.02,0.762,0,1,normal,0
74.27,tcp,smtp,SF,299,1403,5,1,0.009,1.0,0,1,normal,0
99.3,tcp,dns,SF,1049,2371,5,7,0.061,1.0,0,1,normal,0
87.05,udp,ftp,REJ,637,1313,3,1,0.0,0.781,0,1,normal,0
39.44,icmp,pop3,SF,531,1333,9,8,0.0,0.988,0,1,normal,0
32.65,udp,ftp,SF,444,560,6,8,0.006,0.966,0,1,normal,0
5.64,tcp,other,SF,49,1,76,18,0.665,0.102,0,0,probe,1
111.05,icmp,dns,SF,125,1263,6,3,0.083,0.953,0,1,normal,0
139.37,tcp,other,SF,723,459,4,1,0.007,0.734,0,1,normal,0
0.0,tcp,other,SF,0,793,5,1,0.0,0.815,0,1,normal,0
65.49,tcp,other,SF,917,1309,9,2,0.0,0.944,0,1,normal,0
13.46,tcp,other,S0,81,406,7,5,0.033,0.69,2,0,r2l,1
10.98,udp,ftp,SF,657,520,9,9,0.035,1.0,0,1,normal,0
0.88,tcp,smtp,S0,0,0,331,333,0.942,1.0,0,0,dos,1
30.61,tcp,dns,SF,231,239,4,1,0.0,0.902,0,1,normal,0
100.78,tcp,telnet,SF,638,1106,1,6,0.048,0.946,0,1,normal,0
58.7,tcp,ssh,SF,105,559,2,9,0.025,1.0,0,1,normal,0
0.0,udp,other,SF,41,2,31,12,0.243,0.007,0,0,probe,1
86.73,tcp,http,S0,696,1058,2,1,0.029,0.978,0,1,normal,0
45.03,tcp,other,SF,854,1379,1,7,0.081,0.947,0,1,normal,0
116.34,tcp,telnet,SF,10,1744,3,1,0.026,0.776,0,1,normal,0
41.59,tcp,dns,SF,313,623,9,1,0.0,1.0,0,1,normal,0
73.21,tcp,pop3,SF,369,997,9,9,0.0,1.0,0,1,normal,0
35.18,icmp,telnet,SF,211,2183,8,8,0.011,0.823,0,1,normal,0
56.22,tcp,telnet,SF,570,925,7,4,0.014,0.85,0,1,normal,0
3.18,tcp,other,S0,86,6,266,364,0.894,0.938,0,0,dos,1
4.16,tcp,other,REJ,23,2,66,18,0.224,0.025,0,0,probe,1
113.98,icmp,ssh,SF,268,457,7,3,0.0,1.0,0,1,normal,0
6.67,tcp,ssh,SF,299,896,1,1,0.016,1.0,0,1,normal,0
90.88,udp,pop3,S0,858,1787,8,2,0.0,0.88,0,1,normal,0
85.87,tcp,dns,SF,474,2019,2,4,0.0,0.788,0,1,normal,0
74.4,tcp,http,SF,375,965,1,5,0.025,0.79,0,1,normal,0
39.69,tcp,telnet,S0,1029,363,3,5,0.0,0.928,0,1,normal,0
1.67,tcp,ssh,REJ,35,4,305,440,0.936,0.961,0,0,dos,1
1.63,udp,other,S0,64,0,223,510,0.733,1.0,0,0,dos,1
17.17,tcp,http,SF,855,0,5,6,0.056,0.866,0,1,normal,0
0.0,tcp,telnet,S0,40,0,45,12,0.557,0.005,0,0,probe,1
61.75,udp,other,SF,326,56,3,6,0.04,0.903,0,1,normal,0
