duration,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,num_failed_logins,logged_in,protocol_type_enc,service_enc,flag_enc
103.93,495,973,7,9,0.0,0.891,0,1,1,7,4
18.66,619,723,3,8,0.053,0.798,0,1,1,3,4
85.19,0,764,8,3,0.0,0.835,0,1,1,5,4
92.64,193,1130,4,1,0.107,1.0,0,1,1,2,4
110.59,624,1115,8,3,0.002,0.921,0,1,1,4,4
49.78,552,789,5,3,0.0,0.908,0,1,1,3,4
1.11,105,12,131,261,0.845,0.892,0,0,1,7,3
72.89,644,0,3,2,0.024,0.773,0,1,2,4,4
0.0,47,0,176,290,0.814,0.892,0,0,0,4,0
51.8,507,919,1,3,0.011,0.985,0,1,1,3,4
1.64,59,0,438,315,1.0,0.959,0,0,1,1,0
89.58,427,1513,5,7,0.006,0.798,0,1,1,4,4
0.51,1,0,505,165,0.833,0.973,0,0,1,3,3
111.98,749,1798,3,2,0.151,0.964,0,1,0,3,4
0.0,53,0,400,339,0.851,0.877,0,0,0,3,3
0.0,737,509,4,2,0.0,0.824,0,1,1,2,4
2.62,32,5,405,167,1.0,0.885,0,0,1,1,3
21.74,279,1500,8,9,0.058,0.858,0,1,2,1,4
74.61,275,661,7,2,0.086,0.839,0,1,1,4,4
41.42,623,1717,7,7,0.057,0.982,0,1,1,5,4
167.56,709,362,2,2,0.066,1.0,1,1,2,5,4
69.9,1008,1216,9,5,0.012,0.914,0,1,1,6,4
60.36,488,263,1,1,0.079,0.644,0,1,2,3,4
0.0,338,1135,8,9,0.042,0.895,0,1,2,1,3
10.89,916,468,8,2,0.055,0.815,0,1,1,1,3
0.08,18,0,454,281,0.975,1.0,0,0,1,2,3
1.66,43,0,510,414,1.0,0.965,0,0,1,3,3
1.83,77,6,291,353,0.834,0.951,0,0,1,6,3
71.71,449,1480,6,9,0.032,0.734,0,1,2,4,4
10.66,700,786,9,1,0.0,0.993,0,1,1,0,3
86.79,239,1552,7,4,0.012,0.947,0,1,1,1,3
82.08,608,1309,1,4,0.072,0.919,0,1,1,5,4
1.04,0,0,46,16,0.747,0.222,0,0,1,0,3
2.82,20,0,90,14,0.503,0.0,0,0,1,6,3
35.35,538,1374,7,1,0.026,0.804,0,1,1,1,4
65.67,417,0,9,1,0.09,0.764,0,1,1,1,4
0.33,22,0,43,6,0.539,0.089,0,0,1,7,3
119.8,54,2031,1,4,0.058,1.0,0,1,1,6,4
0.28,2,0,118,484,0.805,0.969,0,0,1,4,2
